city,idx,name,img,w,h,ratio,bytes,page,credit,reason
santiago-de-queretaro,7,Jardín Zenea & Templo de San Francisco,images/landmarks/santiago-de-queretaro-jardin-zenea-templo-de-san-francisco.webp,1200,465,2.581,108386,"https://commons.wikimedia.org/wiki/File:Quer%C3%A9taro_panor%C3%A1mica_centro,_jard%C3%ADn_Zenea.jpg",,ultra-wide
islamabad,3,Margalla Hills National Park,images/landmarks/islamabad-margalla-hills-national-park.webp,1200,464,2.586,73822,https://commons.wikimedia.org/wiki/File:Margalla_Hills_National_Park.jpg,,ultra-wide
marseille,1,Vieux-Port (Old Port),images/landmarks/marseille-vieux-port-old-port.webp,1200,464,2.586,91146,https://commons.wikimedia.org/wiki/File:Marseille_Old_Port.jpg,,ultra-wide
tarragona,0,Amfiteatre Romà (Roman Amphitheatre),images/landmarks/tarragona-amfiteatre-roma-roman-amphitheatre.webp,1200,464,2.586,130434,https://commons.wikimedia.org/wiki/File:Amphitheatre_of_Tarragona_02.jpg,,ultra-wide
nassau,6,Fort Charlotte,images/landmarks/nassau-fort-charlotte.webp,1200,460,2.609,83812,"https://commons.wikimedia.org/wiki/File:Fort_Charlotte,_Nassau,_The_Bahamas.jpg",,ultra-wide
mytilene,7,Yeni Tzami,images/landmarks/mytilene-yeni-tzami.webp,1200,458,2.62,88544,https://commons.wikimedia.org/wiki/File:Geni_Tzami_Mytilini.jpg,,ultra-wide
algiers,9,Bastion 23 / Palais des Raïs,images/landmarks/algiers-bastion-23.webp,1200,455,2.637,65552,https://commons.wikimedia.org/wiki/File:Bastion_23_-_Palais_18_-_Patio.jpg,,ultra-wide
kanazawa,1,Kanazawa Castle Park,images/landmarks/kanazawa-kanazawa-castle-park.webp,1200,452,2.655,80652,https://commons.wikimedia.org/wiki/File:Kanazawa-M-5937.jpg,,ultra-wide
natal,6,Centro de Turismo de Natal,images/landmarks/natal-centro-de-turismo-de-natal.webp,1200,452,2.655,91822,https://commons.wikimedia.org/wiki/File:Centro_de_Turismo_de_Natal_(RN).jpg,,ultra-wide
honiara,3,Point Cruz,images/landmarks/honiara-point-cruz.webp,1200,450,2.667,133248,"https://commons.wikimedia.org/wiki/File:Battle_of_Guadalcanal_Japanese_Plaque_on_cenotaph_at_Central_Police_Station,_Point_Cruz_Honiara._1993_Honiara_Association_Fukuoka_Japan.jpg",,ultra-wide
kelowna,6,Kasugai Gardens,images/landmarks/kelowna-kasugai-gardens.webp,1200,450,2.667,151994,https://commons.wikimedia.org/wiki/File:Kasugai_Gardens_Kelowna_July_2016_panarama_01.jpg,,ultra-wide
joao-pessoa,5,Parque Solon de Lucena (Lagoa),images/landmarks/joao-pessoa-parque-solon-de-lucena.webp,1200,449,2.673,123660,"https://commons.wikimedia.org/wiki/File:Parque_da_Lagoa_S%C3%B3lon_de_Lucena,_Jo%C3%A3o_Pessoa_(PB).jpg",,ultra-wide
