city,idx,name,img,w,h,ratio,page
lugano,5,Cathedral of San Lorenzo,images/landmarks/lugano-cathedral-san-lorenzo.webp,1200,1600,0.75,https://commons.wikimedia.org/wiki/File:Lugano_San_Lorenzo_02.JPG
luoyang,7,Wangcheng Park Peony Gardens,images/landmarks/luoyang-wangcheng-park.webp,1200,1600,0.75,https://commons.wikimedia.org/wiki/File:Wangcheng_park_during_the_Peony_festival.jpg
lusaka,0,Freedom Statue,images/landmarks/lusaka-freedom-statue.webp,810,1080,0.75,https://commons.wikimedia.org/wiki/File:The_zambian_freedom_statute.jpg
lviv,5,Armenian Cathedral,images/landmarks/lviv-armenian-cathedral.webp,825,1100,0.75,https://commons.wikimedia.org/wiki/File:Lviv-Armenian.jpg
lviv,6,Boim Chapel,images/landmarks/lviv-boim-chapel.webp,1200,1600,0.75,https://commons.wikimedia.org/wiki/File:Lwow_kaplica_Boimow_2.jpg
lyon,8,Traboules de Lyon,images/landmarks/lyon-traboules.webp,1200,1600,0.75,https://commons.wikimedia.org/wiki/File:Traboule_de_Lyon_026.JPG
maastricht,4,Basilica of Our Lady (Onze-Lieve-Vrouwebasiliek),images/landmarks/maastricht-basilica-of-our-lady.webp,1200,1600,0.75,https://commons.wikimedia.org/wiki/File:Maastricht_-_Onze_Lieve_Vrouwebasiliek_-_Onze_Lieve_Vrouweplein_7_(9-10)_P1140856.JPG
maastricht,5,St. Pietersberg Caves (Grotten Sint-Pietersberg),images/landmarks/maastricht-st-pietersberg-caves.webp,1200,1600,0.75,https://commons.wikimedia.org/wiki/File:GrottenStPieter_Rooi_muur.jpg
macau,4,Guia Fortress and Lighthouse,images/landmarks/macau-guia-fortress-lighthouse.webp,1200,1600,0.75,https://commons.wikimedia.org/wiki/File:Macau_Guia_Lighthouse_22-02-2023.jpg
maceio,8,Museu Théo Brandão,images/landmarks/maceio-museu-theo-brandao.webp,1200,1600,0.75,https://commons.wikimedia.org/wiki/File:Museu_Théo_Brandão.jpg
