city,idx,name,current_img,current,current_ratio,tier,proposed_file,proposed,proposed_ratio,alternates
toulon,9,Place Puget and the Old Town Fountains,images/landmarks/toulon-place-puget.webp,1200x1600,0.75,good,File:Toulon - La Place du Mûrier.jpg,3919x2206,1.777,File:Place-Ledeaut.jpg | File:Giraud 12 - TOULON - La Place de l'Intendance.JPG | File:Fontaine Halle Grains Toulon 2.jpg
tours,2,Basilique Saint-Martin,images/landmarks/tours-basilique-saint-martin.webp,1200x1600,0.75,strong,File:Basilique Saint-Martin (Tours) (2).jpg,5472x3648,1.5,File:Basilique Saint-Martin de Tours 2022 02.jpg | File:Tours Basilique Saint-Martin Chor 4.jpg | File:Tours Basilique Saint-Martin Kuppel 2.jpg
tokyo,4,Tokyo Tower,images/landmarks/tokyo-tokyo-tower.webp,1200x1600,0.75,strong,"File:Tokyo Tower, Toilets.jpg",5760x3840,1.5,"File:Shinjuku Gyoen National Garden and NTT DoCoMo Yoyogi Building, Tokyo, Japan.jpg | File:Worm's-eye view of Tokyo Skytree with vertical symmetry impression, a sunny day, in Japan.jpg | File:Marunouchi Central Plaza with blue sky, Tokyo station and Shin-Marunouchi Building, panoramic view from JP Tower, Tokyo, Japan.jpg"
trinidad,3,Convento de San Francisco Bell Tower,images/landmarks/trinidad-convento-san-francisco.webp,1200x1600,0.75,strong,File:Iglesia y Convento de San Francisco - Trinidad - 02.jpg,3927x2618,1.5,File:Iglesia y Convento de San Francisco - Trinidad - 01.jpg | File:Convento de San Francisco depuis Piro Guinar.jpg | File:Trinidad - Convento de San Francisco de Asis.jpg
tripoli,6,Ottoman Clock Tower,images/landmarks/tripoli-ottoman-clock-tower.webp,1200x1600,0.75,good,File:ميدان الساعة طرابلس.jpg,5377x3585,1.5,File:Tripoli Street View - panoramio - Cüneyt Türksen.jpg | File:المدين القديمة - برج الساعة.jpg | File:برج الساعة، تذكار.jpg
tripoli,4,Ahmed Pasha Karamanli Mosque,images/landmarks/tripoli-ahmed-pasha-karamanli-mosque.webp,1200x1600,0.75,good,"File:Abdullah ibn Rawaha mosque, Massah.JPG",3648x2736,1.333,"File:Al Hassan wal Hussein mosque, Tobruk.JPG | File:Darghut Mosque Exterior Tripoli Libya.JPG | File:Gurgi Mosque Exterior Tripoli Libya.JPG"
timbuktu,5,René Caillié House,images/landmarks/timbuktu-rene-caillie-house.webp,240x320,0.75,strong,"File:ASC Leiden - van Achterberg Collection - 05 - 08 - La maison de René Caillié, explorateur français - Tombouctou, Mali - Novembre-décembre 1993.jpg",6756x4450,1.518,"File:ASC Leiden - van Achterberg Collection - 04 - 80 - La maison bien entretenue de René Cailliés - Tombouctou, Mali - Novembre-décembre 1993.jpg | File:Tombouctou-Maison de René Caillé (AOF).jpg"
tripoli,7,Naga Mosque (An-Naqah Mosque),images/landmarks/tripoli-naga-mosque.webp,1200x1600,0.75,strong,File:2 Tripoli En-Naga mosque (51791288947).jpg,2496x1664,1.5,"File:Abdullah ibn Rawaha mosque, Massah.JPG | File:Al Hassan wal Hussein mosque, Tobruk.JPG"
tripoli,8,Karamanli House Museum,images/landmarks/tripoli-karamanli-house-museum.webp,1200x1600,0.75,good,File:ARKADER 4 FINT.JPG,5472x3648,1.5,File:Beauty Boarding (05).JPG | File:Le Kaire (Cairo). Vue intérieure de l'une des cours de la maison d'Hasan Kâchef (NYPL b14212718-1268771).jpg | File:Le Kaire (Cairo). Vue intérieure de la maison d'Osmân Bey (NYPL b14212718-1268761).jpg
valparaiso,2,La Sebastiana (Pablo Neruda's House),images/landmarks/valparaiso-la-sebastiana.webp,1200x1600,0.75,strong,"File:Casa Museo La Sebastiana - Pablo Neruda, Valparaiso.jpg",4896x3672,1.333,File:La Sebastiana de Pablo Neruda.JPG | File:Neruda La Sebastiana 01.jpg | File:Neruda La Sebastiana 06.jpg
